,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,IsInHabitableZone
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,KOI-1299 b,2.0,4.87,1.12,52.50097,0.3034,0.535,,,,88.9,,,transit,2014.0,14/10/14,19 33 07.73,+48 17 09.2,870.0,1.353,4.16,-0.07,4850.0,3.5,"Confirmed planets, Planets in binary systems, S-type",8.461388607356906,1.07469089269716,0.302233594890425,2.8059442400297736,5.291142430014266,False
139,KOI-1299 c,2.0,2.43,,406.2,,0.498,60.8,,,,,,RV,2014.0,15/02/03,19 33 07.73,+48 17 09.2,870.0,1.353,4.16,-0.07,4850.0,3.5,"Controversial, Planets in binary systems, S-type",8.461388607356906,1.07469089269716,0.302233594890425,2.8059442400297736,5.291142430014266,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Rho Coronae Borealis b,0.0,169.7,,39.8449,0.24,0.057,303.0,,266.4,0.4,,,RV,1997.0,15/04/20,16 01 02.662,+33 18 12.63,17.24,1.0,,,5823.0,,Controversial,,1.1941927876054328,0.35865641343263244,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
